관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : KBO   시즌 : 2021,2022,2023,2024  시즌구분  : 전체   구단구분 : 전체     요일 :   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2024 시즌,2024,03,24,일,KT,삼성,수원케이티위즈파크,,,18700
KBO,정규리그,2024 시즌,2024,03,24,일,NC,두산,창원NC파크,,,14555
KBO,정규리그,2024 시즌,2024,03,24,일,SSG,롯데,인천SSG 랜더스필드,,,23000
KBO,정규리그,2024 시즌,2024,03,24,일,LG,한화,서울 잠실 야구장,,,23750
KBO,정규리그,2024 시즌,2024,03,24,일,KIA,키움히어로즈,광주-기아 챔피언스 필드,,,0
KBO,정규리그,2024 시즌,2024,03,23,토,NC,두산,창원NC파크,,,17891
KBO,정규리그,2024 시즌,2024,03,23,토,LG,한화,서울 잠실 야구장,,,23750
KBO,정규리그,2024 시즌,2024,03,23,토,SSG,롯데,인천SSG 랜더스필드,,,23000
KBO,정규리그,2024 시즌,2024,03,23,토,KT,삼성,수원케이티위즈파크,,,18700
KBO,정규리그,2024 시즌,2024,03,23,토,KIA,키움히어로즈,광주-기아 챔피언스 필드,,,20500
KBO,정규리그,2023 시즌,2023,10,17,화,KIA,NC,광주-기아 챔피언스 필드,맑음,21.7℃,"10,175"
KBO,정규리그,2023 시즌,2023,10,17,화,SSG,두산,인천SSG 랜더스필드,맑음,19.5℃,"21,007"
KBO,정규리그,2023 시즌,2023,10,16,월,두산,SSG,서울 잠실 야구장,맑음,19.6℃,"15,850"
KBO,정규리그,2023 시즌,2023,10,16,월,한화,롯데,대전 한화생명 이글스파크,맑음,20.7℃,"12,000"
KBO,정규리그,2023 시즌,2023,10,16,월,KIA,NC,광주-기아 챔피언스 필드,맑음,20.6℃,"5,251"
KBO,정규리그,2023 시즌,2023,10,15,일,LG,두산,서울 잠실 야구장,맑음,21.2℃,"23,750"
KBO,정규리그,2023 시즌,2023,10,15,일,NC,삼성,창원NC파크,맑음,24℃,"17,861"
KBO,정규리그,2023 시즌,2023,10,15,일,한화,롯데,대전 한화생명 이글스파크,맑음,21.1℃,"9,840"
KBO,정규리그,2023 시즌,2023,10,14,토,한화,롯데,대전 한화생명 이글스파크,구름많음,21.7℃,"9,153"
KBO,정규리그,2023 시즌,2023,10,14,토,삼성,SSG,대구 삼성 라이온즈 파크,비,24℃,"24,000"
KBO,정규리그,2023 시즌,2023,10,14,토,LG,두산,서울 잠실 야구장,비,18.2℃,"21,771"
KBO,정규리그,2023 시즌,2023,10,13,금,두산,KIA,서울 잠실 야구장,흐림,21.5℃,"19,188"
KBO,정규리그,2023 시즌,2023,10,13,금,SSG,키움히어로즈,인천SSG 랜더스필드,구름많음,21.5℃,"16,783"
KBO,정규리그,2023 시즌,2023,10,13,금,NC,LG,창원NC파크,흐림,23.5℃,"6,257"
KBO,정규리그,2023 시즌,2023,10,12,목,KIA,롯데,광주-기아 챔피언스 필드,구름조금,24.2℃,"4,767"
